,business_name
0,MALAYAN_BANKING_BERHAD
1,MALAYAN_BANKING_BERHAD
2,UNITED_OVERSEAS_BANK_MALAYSIA_BHD
3,HONG_LEONG_BANK_BERHAD
4,STANDARD_CHARTERED_BANK_MALAYSIA_BERHAD
5,HONG_LEONG_BANK_BERHAD
6,HONG_LEONG_BANK_BERHAD
7,HONG_LEONG_BANK_BERHAD
8,CIMB_BANK
9,AMBANK_M_BERHAD
10,ALLIANCE_BANK_MALAYSIA_BERHAD
11,AL_RAJHI_BANK
12,AL_RAJHI_BANK
13,AL_RAJHI_BANK
14,AFFINBANK
15,KK_SUPER_MART
16,BAKHACHE_LUXURIES_M_SDN_BHD_BANGSAR_SHOPPING_CENTRE
17,AMERCARE_SDN_BHD
18,___SPEED_MART_JALAN_BANGSAR
19,ASIA_GEMOLOGICAL_LABORATORY_SDN_BHD
20,PICTURES_TALK
21,MAHOGANY_MUSIC_SDN_BHD
22,LOVINMYBAGS_SDN_BHD
23,TIME_PACIFIC_WATCH_SDN_BHD
24,SEVEN_ELEVEN
25,SEVEN_ELEVEN
26,KK_SUPER_MART
27,GCH_RETAIL_M_SDN_BHD
28,FRAVI_SDN_BHD
29,SEVEN_ELEVEN
30,SEVEN_ELEVEN
31,TREE_AND_TREES_SDN_BHD
32,YEE_WAH_HINGS_WATCH_SDN_BHD
33,ROYAL_SELANGOR_BANGSAR_SHOPPING_CENTRE
34,SHINJU_PEARL_M_SDN_BHD
35,TEMPLE_OF_ALCHEMY_BOUTIQUE
36,BANGSAR_VILLAGE
37,AMMAR_SUPPLIES_AND_SERVICES
38,KOPERASI_TENAGA_NASIONAL_BHD
39,ENG_LIAN_ENTERPRISE_SDN_BHD
40,INTICRAFT_SDN_BHD
41,TOYSRUS_M_SDN_BHD
42,TIME_PACIFIC_WATCH_SDN_BHD
43,TELE_ATLAS_MALAYSIA_SDN_BHD
44,BALLOON_BOUQUETS_SDN_BHD
45,DEGEM_MASTERPIECE_SDN_BHD
46,MH_GLOBAL_SDN_BHD
47,VILLAGE_GROCER_SDN_BHD
48,BANGSAR_VILLAGE
49,ART_IN_BLOOM_SDN_BHD
50,ONI_GLOBAL_MALAYSIA_SDN_BHD
51,ONI_GLOBAL_MALAYSIA_SDN_BHD
52,THE_COFFEE_BEAN_AND_TEA_LEAF_M_SDN_BHD
53,THE_COFFEE_BEAN_AND_TEA_LEAF_M_SDN_BHD
54,STARBUCKS
55,STARBUCKS
56,STARBUCKS
57,STARBUCKS
58,ZEN_PLACE_SDN_BHD
59,RESTORAN_RK_NABILAA_MAJU
60,GRIND_CAF_
61,SECRET_RECIPE_CAKES_AND_CAFE_SDN_BHD
62,ESPRESSOLAB_ASIA_PACIFIC_SDN_BHD
63,MERCAT_FOOD_AND_BEVERAGE_SDN_BHD
64,MARIA_STEAKCAFE_SDN_BHD
65,SMITH_SUCCESS_SDN_BHD
66,SRI_ANANDA_BAHWAN_RESTAURANT_IPOH_SDN_BHD
67,SANTAI_RESORT_VENTURES_SDN_BHD
68,BRIQS_CONCEPTS_SDN_BHD
69,TANKU_SDN_BHD
70,MITASU_ALLIANCE_SDN_BHD
71,POTENT_HAUS_SDN_BHD
72,VILLAGE_NINE_SDN_BHD
