,business_name
73,BERJAYA_COFFEE_COMPANY_M_SDN_BHD
74,NARESH_GLOBAL_CONCEPTS_SDN_BHD
75,DINASTI_MEKAR_SDN_BHD
76,GLAMOUR_MISSION_SDN_BHD
77,SHOREDITCH_MARKET_SDN_BHD
78,PARADISE_DYNASTY_SDN_BHD_
79,NATURES_VEGETARIAN_RESTAURANT_BANGSAR_SDN_BHD
80,FOUR_SEASONS_BAYSWATER_SDN_BHD
81,GC_BANGSAR_TWO_SDN_BHD
82,DANAU_GEMILANG_SDN_BHD
83,FIRST_MARSHAL_M_SDN_BHD
84,WONDERFUL_LIFESTYLE_SDN_BHD
85,AL_BABA_GROUP_SDN_BHD
86,DEVIS_CORNER_ENTERPRISE
87,ARTISAN_COFFEE_BARS_SDN_BHD
88,CHAMPS_EXPRESS_HERITAGE_SDN_BHD
89,HD_MARKETING_AND_DISTRIBUTION_SDN_BHD
90,SNACKFOOD_DESIGN
91,ABSOLUTE_THAI_SDN_BHD
92,COSANS_COFFEE_BANGSAR
93,SAN_FRANCISCO_COFFEE_MENARA_UOA_BANGSAR
94,OLDTOWN_WHITE_COFFEE_UOA_BANGSAR
95,DOMINOS_PIZZA_BANGSAR
96,BASKIN_ROBBINS_BANGSAR
97,BENS
98,NANDOS_CHICKEN_BANGSAR_VILLAGE
99,PAPPARICH_BANGSAR
100,MCDONALDS_BANGSAR
101,TOUS_LES_JOURS
102,TED_BOY_BAKERY
103,STARBUCKS
104,JUST_HEAVENLY_M_SDN_BHD
105,DELICIOUS__BANGSAR_VILLAGE_II
106,DARJAT_GEMBIRA_SDN_BHD
107,SAGAR_RESTAURANT_SDN_BHD
108,LA_BODEGA_SDN_BHD
109,SUEZ_TOP_VENTURES_SDN_BHD
110,ROCKY_RESTAURANT
111,SANG_WOT_RESTAURANT
112,SWISSCORP_INDUSTRIES_M_SDN_BHD
113,SOUTHERN_ROCK_SEAFOOD_SDN_BHD
114,CHAZZER_SDN_BHD_
115,EVARICH_SDN_BHD
116,TPL_FRESH_MEATS_SDN_BHD__BANGSAR
117,BACKOFEN_SDN_BHD
118,TRIDENT_ACE_SDN_BHD
119,GOOD_FOOD_TRIO_COMPANY_SDN_BHD
120,SURYAN_UNIVERSAL_SDN_BHD
121,APEXPAL_MALAYSIA_SDN_BHD
122,EVERVILLE_SDN_BHD
123,ANJAPPAR_RESTAURANTS_SDN_BHD
