business_name,business_distance,business_lanlot
NU Lifestyle Sdn Bhd,4.51 km,"3.117855, 101.677844"
NU Lifestyle Sdn Bhd,4.99 km,"3.170463, 101.666652"
STSS Concepts Sdn Bhd,2.43 km,"3.130856, 101.691429"
STSS Concepts Sdn Bhd,4.62 km,"3.118415, 101.675831"
Embun Elit Sdn Bhd,2.57 km,"3.166820, 101.692485"
Mc Brothers Sdn Bhd,1.58 km,"3.159262, 101.713606"
Loong Kee Dried Meat Sdn Bhd,0.4 km,"3.144999, 101.707842"
Loong Kee Dried Meat Sdn Bhd,1.01 km,"3.142487, 101.697887"
Loong Kee Dried Meat Sdn Bhd,1.12 km,"3.144390, 101.695890"
Cocoscience Sdn Bhd,2.56 km,"3.132890, 101.687684"
Cocoscience Sdn Bhd,4.88 km,"3.170222, 101.667697"
Bonanza Acts Sdn Bhd,4.67 km,"3.116740, 101.676910"
Canary Theme Sdn Bhd,4.95 km,"3.150235, 101.749900"
Sidick Minerals & Oil Resources (M) Sdn Bhd,0.94 km,"3.152844, 101.712131"
Longrich Bioscience Bhd,1.84 km,"3.162235, 101.713274"
Juice Works Sdn Bhd,0.9 km,"3.148892, 101.713389"
Juice Works Sdn Bhd,1.25 km,"3.157179, 101.711362"
Juice Works Sdn Bhd,1.42 km,"3.159258, 101.700036"
Juice Works Sdn Bhd,2.52 km,"3.166387, 101.692570"
Juice Works Sdn Bhd,4.55 km,"3.117376, 101.677846"
Snackfood Design,4.24 km,"3.131131, 101.670978"
Sunrise Exim Sdn. Bhd.,3.41 km,"3.144641, 101.736004"
Jireh Food Sdn Bhd,1.15 km,"3.152220, 101.696153"
Syarikat Eastern Trading,1.94 km,"3.134940, 101.717308"
seab gems ltd,0.66 km,"3.146786, 101.711304"
Q-Q Food Retail Sdn Bhd,1.09 km,"3.144403, 101.696105"
Patchi Chocolate Gifts & Souvenirs (Bangsar),4.04 km,"3.124259, 101.677623"
Patchi Chocolate Gifts & Souvenirs (KLCC),1.35 km,"3.157741, 101.712167"
Patchi Chocolate Gifts & Souvenirs (Pavillion Mall),0.91 km,"3.148970, 101.713511"
Al Huda Smart Sdn Bhd,1.8 km,"3.138060, 101.692410"
Heeye Tech Sdn Bhd,3.94 km,"3.142262, 101.740499"
F N A Marketing (M) Sdn Bhd,4.71 km,"3.122857, 101.739742"
Syedex Marketing Sdn Bhd,0.86 km,"3.148281, 101.713096"
NSK Trading (KL) Sdn Bhd,2.04 km,"3.165629, 101.701557"
Shenqi Health Food (M) Sdn Bhd,0.53 km,"3.145719, 101.709790"
Wong Yoke Ting,2.02 km,"3.164088, 101.697588"
T Y Import & Export Sdn Bhd,1.69 km,"3.136582, 101.715783"
Eastspring Investments Bhd,0.83 km,"3.154955, 101.706918"
RHB Capital Nominees (Tempatan) Sdn Bhd,1.9 km,"3.144098, 101.722148"
RHB Capital Nominees (Asing) Sdn Bhd,1.9 km,"3.144098, 101.722148"
RHB Nominees (Asing) Sdn Bhd,1.9 km,"3.144098, 101.722148"
RHB Islamic Bank Berhad,1.9 km,"3.144098, 101.722148"
RHB Nominees (Tempatan) Sdn Bhd,1.9 km,"3.144098, 101.722148"
Malayan Banking Berhad,3.88 km,"3.126771, 101.677433"
Malayan Banking Berhad,3.88 km,"3.126771, 101.677433"
MSM International Adjusters (M) Sdn Bhd,2.83 km,"3.131830, 101.685432"
Bank Pertanian Malaysia Bhd,1.08 km,"3.154132, 101.698201"
United Overseas Bank (malaysia) Bhd,1.49 km,"3.136115, 101.712205"
Malayan Banking Berhad,0.73 km,"3.147327, 101.698855"
Dbs Bank Ltd,1.07 km,"3.148024, 101.715070"
Alliance Bank Malaysia Berhad,0.25 km,"3.149688, 101.706335"
Malayan Banking Berhad,0.65 km,"3.147273, 101.699535"
Malayan Banking Berhad,0.65 km,"3.147273, 101.699535"
Malayan Banking Berhad,0.73 km,"3.147273, 101.699535"
Bank Islam Malaysia Berhad,0.86 km,"3.153280, 101.710750"
Bank Islam Malaysia Berhad,0.87 km,"3.153373, 101.710722"
Bank Islam Malaysia Berhad,0.86 km,"3.153280, 101.710750"
Bank Islam Malaysia Berhad,0.86 km,"3.153280, 101.710750"
United Overseas Bank (malaysia) Bhd,4.02 km,"3.128182, 101.674911"
Hong Leong Bank Berhad,4.83 km,"3.146828, 101.661933"
Standard Chartered Bank Malaysia Berhad,3.76 km,"3.160073, 101.736901"
Alliance Bank Malaysia Berhad,1.08 km,"3.155198, 101.699324"
Standard Chartered Bank Malaysia Berhad,4.06 km,"3.143906, 101.741801"
Rhb Investment Bank Bbhd(procurement,1.91 km,"3.144048, 101.722263"
Sri Bukit Persekutuan (highbank) Mc,2.55 km,"3.137775, 101.684673"
Ben Jinq Sdn Bhd,0.93 km,"3.144062, 101.712982"
Alliance Bank Malaysia Berhad,1.07 km,"3.155170, 101.699340"
Alliance Bank Malaysia Berhad,1.08 km,"3.155257, 101.699397"
Rhb Trustees Berhad,1.9 km,"3.144098, 101.722148"
Ridzlan & Partners Sdn Bhd,3.87 km,"3.175713, 101.684745"
Nmb Bank Limited,1.12 km,"3.146611, 101.695344"
Public Investment Bank Berhad,1.46 km,"3.138903, 101.695644"
Bank Negara Malaysia (fm-resort),1.97 km,"3.157884, 101.690888"
Bank Negara Malaysia (fm-resort),1.97 km,"3.157884, 101.690888"
Bank Negara Malaysia (fm-resort),2.18 km,"3.154844, 101.687175"
Bank Negara Malaysia (fm-resort),3.96 km,"3.161141, 101.672429"
Affin Bank Berhad,0.95 km,"3.154281, 101.699959"
Bank Pertanian Malaysia Bhd,1.12 km,"3.147034, 101.695353"
Export-Import Bank Of Malaysia Bhd,1.35 km,"3.158815, 101.700575"
Ibh Investment Bank Limited,2.09 km,"3.162145, 101.717416"
Hong Leong Bank Berhad,1.92 km,"3.162449, 101.696431"
Hong Leong Bank Berhad,4.18 km,"3.133900, 101.670341"
Hong Leong Bank Berhad,4.23 km,"3.141597, 101.743044"
Hong Leong Bank Berhad,4.39 km,"3.184852, 101.692014"
Hong Leong Bank Berhad,4.63 km,"3.131925, 101.744028"
Hong Leong Bank Berhad,4.93 km,"3.146237, 101.661055"
Hong Leong Bank Berhad,4.93 km,"3.146237, 101.661055"
Hong Leong Bank Berhad,0.86 km,"3.154234, 101.709498"
Hong Leong Bank Berhad,0.86 km,"3.154234, 101.709498"
CIMB Bank Berhad Menara CIMB,2.46 km,"3.136352, 101.686371"
CIMB Bank Berhad Tesco Extra Ampang,4.06 km,"3.143906, 101.741801"
Public Bank Berhad,1.45 km,"3.159918, 101.709998"
Public Bank Berhad,1.45 km,"3.159918, 101.709998"
Ams Trust Company Limited,0.92 km,"3.152455, 101.712162"
ACE Confidential Sdn Bhd,3.59 km,"3.116022, 101.711889"
Standard Chartered Bank Malaysia Berhad,0.84 km,"3.155191, 101.705477"
Standard Chartered Bank Malaysia Berhad,1.5 km,"3.159186, 101.712392"
Standard Chartered Bank Malaysia Berhad,4.42 km,"3.118246, 101.678629"
Standard Chartered Bank Malaysia Berhad,0.84 km,"3.155191, 101.705477"
Standard Chartered Bank Malaysia Berhad,4.19 km,"3.133833, 101.670330"
Bank Islam Malaysia Berhad,0.86 km,"3.153280, 101.710750"
Bank Islam Malaysia Berhad,2.48 km,"3.168548, 101.713282"
Bank Islam Malaysia Berhad,2.7 km,"3.125023, 101.714284"
Bank Islam Malaysia Berhad,2.87 km,"3.170410, 101.693170"
Bank Islam Malaysia Berhad,4.42 km,"3.152638, 101.665893"
Bank Islam Malaysia Berhad,0.86 km,"3.153280, 101.710750"
Bank Al Habib Limited,4.13 km,"3.121123, 101.679354"
Harlow's & Mgi Sdn Bhd,1.29 km,"3.158969, 101.707946"
Bank Simpanan Nasional,1.1 km,"3.156443, 101.700742"
Bank Simpanan Nasional,1.23 km,"3.157996, 101.709328"
Bank Simpanan Nasional,1.23 km,"3.157996, 101.709328"
Hong Leong Islamic Bank Berhad,4.93 km,"3.146380, 101.661036"
Hong Leong Islamic Bank Berhad,0.86 km,"3.154234, 101.709498"
Rhb Bank Bhd,1.9 km,"3.144148, 101.722114"
Rhb Bank Bhd,1.9 km,"3.144098, 101.722148"
Rhb Bank Bhd,1.9 km,"3.144098, 101.722148"
Bank Of Tokyo-Mitsubushi UFJ (Malaysia) Berhad,0.87 km,"3.155400, 101.706690"
Crawford & Company Adjusters (M) Sdn Bhd,0.42 km,"3.150107, 101.708341"
Crawford & Company Adjusters (M) Sdn Bhd,0.42 km,"3.150107, 101.708341"
Aminvesment Bank Berhad,0.3 km,"3.150138, 101.706579"
Industrial & Commercial Bank Of China (Malaysia) Bhd,1.44 km,"3.158203, 101.713018"
CIMB Islamic Trustee Berhad,0.98 km,"3.151181, 101.697356"
Bank Perusahaan Kecil &sederhana (m) Berhad,1.3 km,"3.158529, 101.700965"
Fidelity Asia Bank Limited,0.68 km,"3.153610, 101.706874"
First East Export Bank,0.53 km,"3.150196, 101.709472"
Bank Of China (Malaysia) Berhad,1.62 km,"3.159145, 101.714428"
RHB Islamic Bank Bhd,1.06 km,"3.148197, 101.714899"
Al Rajhi Banking & Investment Corporation (M) Berhad,1.24 km,"3.149389, 101.716424"
Al Rajhi Banking & Investment Corporation (M) Berhad,1.36 km,"3.159421, 101.708931"
HONG LEONG BANK BERHAD,0.86 km,"3.154234, 101.709498"
UNITED OVERSEAS BANK MALAYSIA BHD,1.7 km,"3.158175, 101.694287"
Prudential Assurance Malaysia Bhd,0.83 km,"3.154955, 101.706918"
CITIBANK BHD,1.93 km,"3.159669, 101.717952"
HONG LEONG BANK BERHAD,0.86 km,"3.154234, 101.709498"
AIA BERHAD,0.79 km,"3.152334, 101.700068"
Hong Leong Bank Temerloh,3.57 km,"3.179780, 101.704870"
Hong Leong Bank Sentul,4.39 km,"3.184808, 101.691969"
Hong Leong Bank Mid Valley,4.54 km,"3.117673, 101.677675"
Hong Leong Bank Southgate,2.56 km,"3.125195, 101.710551"
Hong Leong Bank Jalan Tun Razak,2.26 km,"3.162226, 101.719568"
Hong Leong Bank Brickfields,2.71 km,"3.131851, 101.686842"
Hong Leong Bank Bukit Bintang,1.25 km,"3.157726, 101.700432"
Hong Leong Bank Menara Raja Laut,1.97 km,"3.162698, 101.695941"
ATM Hong Leong Bank Pavilion Kuala Lumpur,3.15 km,"3.139199, 101.732493"
ATM Hong Leong Bank Great Eastern Mall,1.51 km,"3.157876, 101.714379"
