business_name,business_distance(KM),business_lat,business_lon
Shoreditch Market Sdn Bhd,0.16,3.132724,101.670675
Paradise Dynasty Sdn Bhd ,0.31,3.134361,101.670386
Nature's Vegetarian Restaurant (Bangsar) Sdn Bhd,0.17,3.131737,101.671275
Four Seasons Bayswater Sdn Bhd,0.22,3.132784,101.671421
Edo Ichi Japanese Restaurant,2.49,3.109721,101.665403
GC Bangsar Two Sdn Bhd,1.07,3.127671,101.678508
San Francisco Coffee (Bangsar South),2.37,3.110602,101.666273
Danau Gemilang Sdn Bhd,1.32,3.143238,101.667367
First Marshal (M) Sdn Bhd,0.26,3.1339,101.670341
Wonderful Lifestyle Sdn Bhd,2.45,3.11011,101.665146
Wonderful Lifestyle Sdn Bhd,2.49,3.10968,101.665381
Wonderful Lifestyle Sdn Bhd,2.1,3.112852,101.667757
Wonderful Lifestyle Sdn Bhd,1.05,3.126207,101.677551
Wonderful Lifestyle Sdn Bhd,2.3,3.111307,101.665924
Al Baba Group Sdn Bhd,0.17,3.132577,101.670952
Devis Corner Enterprise,0.2,3.1313602,101.671555
Artisan Coffee Bars Sdn Bhd,0.21,3.130684,101.671435
Phd Delivery Jalan Bangsar,2.14,3.11369,101.662943
Champ's Express Heritage Sdn Bhd,1.32,3.143238,101.667367
Sierra Million Gusto Sdn Bhd,2.48,3.109809,101.665162
HD Marketing & Distribution Sdn Bhd,0.21,3.1307,101.67136
Snackfood Design,0.15,3.131131,101.670978
Absolute Thai Sdn Bhd,1.31,3.143167,101.667381
Cosans Coffee Bangsar,0.26,3.1328479,101.67176
San Francisco Coffee (Menara UOA Bangsar),1.06,3.127693,101.678477
San Francisco Coffee (The Horizon),2.14,3.112491,101.667686
Gloria Jean's Coffee Menara PNS Bangsar,2.56,3.1096657,101.663023
OldTown White Coffee UOA Bangsar,1.09,3.1271757,101.678515
OldTown White Coffee Bangsar South,2.42,3.1112533,101.662158
Gloria Jean's Coffee Bangsar South,2.47,3.1100354,101.664624
Domino's Pizza (BANGSAR),0.95,3.136347,101.676944
"The Chicken Rice Shop (The Sphere, Bangsar South )",2.35,3.110599,101.667569
Caprilicious at Capri by Fraser,2.37,3.110636,101.666356
Baskin Robbins Bangsar,0.16,3.130621,101.668757
Ben's,1.24,3.1426589,101.66797
Nando's Chicken Bangsar Village,0.24,3.129667,101.670709
Papparich (BANGSAR),0.16,3.131477,101.671206
McDonald's Bangsar,0.32,3.133053,101.67226
Tous Les Jours,0.15,3.1312275,101.6710343
Ted Boy Bakery,0.19,3.1313578,101.6714562
Starbucks Bangsar Village II,0.24,3.129816,101.670867
Just Heavenly (M) Sdn Bhd,0.48,3.135019,101.672437
Delicious @ Bangsar Village II,0.2,3.130762,101.671378
Darjat Gembira Sdn Bhd,1.32,3.143238,101.667367
Sagar Restaurant Sdn Bhd,0.26,3.129325,101.6692312
La Bodega Sdn Bhd,0.22,3.132148,101.6717094
Suez Top Ventures Sdn Bhd,1.34,3.143466,101.667319
Rocky Restaurant,0.22,3.1334574,101.6704825
