business_name,business_distance,business_lanlot
Quah Ooi Chong,4.63 km,"3.085307, 101.673126"
Plus More Sdn Bhd,4.75 km,"3.077713, 101.675842"
Glow-San Sdn Bhd,0.04 km,"3.072996, 101.633616"
PTC-Nakajima Suisan (M) Sdn Bhd,2.47 km,"3.078488, 101.611848"
O Abdul Majeed,2.68 km,"3.090576, 101.649679"
Alliance Bank Malaysia Berhad,4.9 km,"3.116343, 101.640271"
Naam Solution Sdn Bhd,2.86 km,"3.090524, 101.614651"
Cimb Bank Berhad,2.46 km,"3.093880, 101.640151"
Hong Leong Bank Berhad,2 km,"3.066180, 101.650117"
Hong Leong Bank Berhad,2 km,"3.090170, 101.628467"
Hong Leong Bank Berhad,3.92 km,"3.107021, 101.624856"
Cimb Bank Berhad Jaya Fourteen Shopping Complex,4.06 km,"3.109110, 101.637092"
Standard Chartered Bank Malaysia Berhad,3.34 km,"3.100061, 101.646022"
Bank Islam Malaysia Berhad,3.13 km,"3.099003, 101.643571"
Bank Islam Malaysia Berhad,4.29 km,"3.111408, 101.634083"
Bank Islam Malaysia Berhad,4.9 km,"3.101896, 101.600192"
Amtel Holdings Bhd,1.99 km,"3.073630, 101.615400"
hong leong bank berhad - coc,1.95 km,"3.089621, 101.628192"
Hong Leong Bank Bukit Jalil,4.66 km,"3.059861, 101.673231"
Hong Leong Bank Jalan Mega Mendung,4.38 km,"3.083162, 101.671435"
Hong Leong Bank Jalan Kelang Lama,4.42 km,"3.084488, 101.671436"
ATM HSBC Bank Sunway Pyramid,1.81 km,"3.078536, 101.618089"
ATM HSBC Bank Bangsar Shopping Centre,4.64 km,"3.084829, 101.673342"
HSBC Bank Puchong,3.03 km,"3.048060, 101.621897"
HSBC Bank Petaling Jaya,3.23 km,"3.099945, 101.643675"
CIMB Bank Berhad Puchong,1.96 km,"3.063996, 101.648588"
CIMB Bank Berhad CASA Klang,2.03 km,"3.081582, 101.617268"
CIMB Bank Berhad Subang Jaya,4.83 km,"3.073633, 101.589835"
CIMB Bank Berhad Jaya Shopping Centre,4.08 km,"3.109311, 101.637139"
CIMB Bank Berhad Jalan Kenari,3.47 km,"3.044574, 101.620010"
CIMB Bank Berhad Jalan Klang Lama,2.86 km,"3.081599, 101.657543"
"CIMB Bank Berhad Section 52, PJ",3.24 km,"3.100030, 101.643758"
CIMB Bank Berhad Bandar Sunway,2.55 km,"3.073470, 101.610365"
AmBank (M) Berhad OUG,4.29 km,"3.071504, 101.671924"
AmBank (M) Berhad USJ Sentral,4.61 km,"3.057620, 101.594689"
AmBank (M) Berhad Taman Kinrara,1.95 km,"3.064346, 101.648733"
AmBank (M) Berhad PJ New Town - Jln 52/4,3.28 km,"3.100079, 101.644729"
AmBank (M) Berhad Kelana Parkview,4.98 km,"3.101038, 101.598463"
AmBank (M) Berhad Dataran Mentari,2.28 km,"3.077777, 101.613408"
AmBank (M) Berhad Amcorp Mall,3.44 km,"3.103198, 101.638999"
Bank Kerjasama Rakyat Malaysia Bhd PJ State,3.11 km,"3.098054, 101.645326"
Bank Kerjasama Rakyat Malaysia Bhd Petaling Jaya,4.3 km,"3.111473, 101.634145"
Alliance Bank Puchong Jaya,3.09 km,"3.047672, 101.621525"
AFFINBANK PJ SS2,4.97 km,"3.116116, 101.622276"
ATM Al Rajhi Bank Sunway Pyramid,2.71 km,"3.072016, 101.608986"
ATM Al Rajhi Bank Mydin Wholesale Hypermarket - Subang Jaya,4.39 km,"3.059096, 101.596284"
"ATM Al Rajhi Bank IOI Mall, Puchong",3.53 km,"3.045414, 101.617199"
