,business_name
0,TOTAL_REACH_MARKETING_SDN_BHD
1,AROKYA_HEALTH_AND_HERBS_MARKETING
2,BIO_SOFT_SDN_BHD
3,FORMOSA_SPICE_SDN_BHD
4,TRENDCELL_SDN_BHD__METRO_SQUARE_PJ
5,EPITNA_RESOURCES
6,TRENDCELL_SDN_BHD__METRO_SQUARE_PJ
7,QBI_PACKAGING_SDN_BHD
8,KLONG_ENTERPRISE_SDN_BHD
9,UMI_FOODS_SDN_BHD
10,MYICE_FOOD_SOLUTION_SDN_BHD
11,GOLD_BILLION_FOOD_SUPPLIES
12,NIK_SITI_ZAIHA_FROZEN_TRADING
13,HAFOOS
14,UNICITY_MARKETING_SDN_BHD
15,HUA_FOONG_TRADING_SDN_BHD
16,CAMPBELL_CHEONG_CHAN_M_SDN_BHD
17,GLOWSAN_SDN_BHD
18,HONG_LEONG_BANK_BERHAD
19,HONG_LEONG_BANK_BERHAD
20,AMTEL_HOLDINGS_BHD
21,HONG_LEONG_BANK_BERHAD
22,ATM_HSBC_BANK_SUNWAY_PYRAMID
23,CIMB_BANK
24,AMBANK_M_BERHAD
25,AFFINBANK
26,MAYBANK
